,explanation_accuracy,explanation_fidelity,explanation_complexity,model_accuracy,extraction_time,extracted_concepts,common_concepts_ratio,explanation_consistency
0,0.705158275605011,0.8160112359550562,1.5,0.8314606547355652,17.27890133857727,9.0,tensor(0.),0.2875
1,0.7141492917396148,0.752112676056338,1.5,0.7464788556098938,23.95677900314331,12.0,tensor(0.0909),0.2875
2,0.6633216012470924,0.8112676056338028,6.0,0.7915492653846741,36.44098782539368,15.5,tensor(0.1923),0.2875
3,0.6707209589282567,0.7352112676056337,4.0,0.7915492653846741,18.166791677474976,13.0,tensor(0.2381),0.2875
4,0.5932020008992807,0.8408450704225352,4.5,0.7915492653846741,19.561288595199585,12.0,tensor(0.1429),0.2875
